,id,object_name,chain,object_type,address,number,street,district
5172,23054,кафе «музей космонавтики»,нет,кафе,"город Москва, проспект Мира, дом 111",44, проспект Мира,Не определен
5239,23114,пбо la pausa pizzeria and cafe,нет,кафе,"город Москва, проспект Мира, дом 211, корпус 1",92, проспект Мира,район Свиблово
5241,26865,ресторан «макдоналдс»,да,предприятие быстрого обслуживания,"город Москва, проспект Мира, дом 123А",128, проспект Мира,Останкинский район
5242,22205,пиццерия «джовани»,нет,кафе,"город Москва, проспект Мира, дом 123А",80, проспект Мира,Останкинский район
5243,28747,столовая-доготовочная школы-интерната № 16,нет,столовая,"город Москва, проспект Мира, дом 123А",225, проспект Мира,Останкинский район
5298,81498,кафе-ресторан «биф-тайм»,нет,ресторан,"город Москва, проспект Мира, дом 102, строение 1А",95, проспект Мира,Не определен
5314,22884,кафе «базилик»,нет,кафе,"город Москва, проспект Мира, дом 120, корпус 1",45, проспект Мира,Алексеевский район
5341,28474,столовая ао госниип,нет,столовая,"город Москва, проспект Мира, дом 125",80, проспект Мира,район Ростокино
5391,71371,ресторан хинкальная,да,ресторан,"город Москва, проспект Мира, дом 211, корпус 2",25, проспект Мира,район Свиблово
5392,71372,закусочная kfc,да,предприятие быстрого обслуживания,"город Москва, проспект Мира, дом 211, корпус 2",110, проспект Мира,район Свиблово
5393,71373,закусочная kfc,да,предприятие быстрого обслуживания,"город Москва, проспект Мира, дом 211, корпус 2",86, проспект Мира,район Свиблово
5394,70328,иль патио,да,ресторан,"город Москва, проспект Мира, дом 211, корпус 2",198, проспект Мира,район Свиблово
5395,71948,чайхона №1,да,ресторан,"город Москва, проспект Мира, дом 211, корпус 2",218, проспект Мира,район Свиблово
